brand,product_name,category,sub_category,features,reviews,skin_type,price
에스트라,에스트라 바디 제품 23,생활용품,바디,보습 강화,자극 없이 순하다는 평가가 많음,지성,43000
에스트라,에스트라 헤어 제품 24,생활용품,헤어,윤기 강화,가성비가 좋다는 의견이 많음,모든 피부,94000
라네즈,라네즈 이너뷰티 제품 25,뷰티푸드,이너뷰티,피부 건강 개선,가성비가 좋다는 의견이 많음,모든 피부,125000
헤라,헤라 퍼퓸 제품 26,향수,퍼퓸,시그니처 향,가성비가 좋다는 의견이 많음,건성,78000
이니스프리,이니스프리 선케어 제품 27,베이비,선케어,백탁 없음,재구매율이 높은 제품,복합성,104000
프리메라,프리메라 스페셜 케어 제품 28,스킨 케어,스페셜 케어,탄력 개선,재구매율이 높은 제품,모든 피부,101000
에스트라,에스트라 아이 제품 29,메이크업,아이,롱래스팅,향과 사용감에 대한 만족도가 높음,복합성,25000
바이탈뷰티,바이탈뷰티 퍼퓸 제품 30,향수,퍼퓸,지속력 우수,효과 체감이 빠르다는 리뷰 다수,건성,23000
헤라,헤라 바디 제품 31,생활용품,바디,산뜻한 마무리,효과 체감이 빠르다는 리뷰 다수,건성,135000
에스트라,에스트라 바디 제품 32,생활용품,바디,산뜻한 마무리,향과 사용감에 대한 만족도가 높음,건성,37000
한율,한율 이너뷰티 제품 33,뷰티푸드,이너뷰티,피부 건강 개선,가성비가 좋다는 의견이 많음,복합성,22000
롱테이크,롱테이크 바디케어 제품 34,남성,바디케어,데일리 사용,자극 없이 순하다는 평가가 많음,지성,62000
에스트라,에스트라 바디 제품 35,생활용품,바디,산뜻한 마무리,재구매율이 높은 제품,모든 피부,78000
프리메라,프리메라 이너뷰티 제품 36,뷰티푸드,이너뷰티,피부 건강 개선,재구매율이 높은 제품,민감성,79000
아이오페,아이오페 메이크업 제품 37,남성,메이크업,저자극,가성비가 좋다는 의견이 많음,민감성,51000
롱테이크,롱테이크 선케어 제품 38,베이비,선케어,자외선 차단,효과 체감이 빠르다는 리뷰 다수,민감성,141000
롱테이크,롱테이크 퍼퓸 제품 39,향수,퍼퓸,지속력 우수,가성비가 좋다는 의견이 많음,모든 피부,14000
바이탈뷰티,바이탈뷰티 선케어 제품 40,베이비,선케어,백탁 없음,효과 체감이 빠르다는 리뷰 다수,복합성,34000
에스트라,에스트라 헤어 제품 41,생활용품,헤어,손상 케어,향과 사용감에 대한 만족도가 높음,모든 피부,119000
바이탈뷰티,바이탈뷰티 선케어 제품 42,베이비,선케어,백탁 없음,가성비가 좋다는 의견이 많음,지성,74000
롱테이크,롱테이크 클렌징 제품 43,스킨 케어,클렌징,보습 유지,효과 체감이 빠르다는 리뷰 다수,건성,141000
에스트라,에스트라 스킨/바디 케어 제품 44,베이비,스킨/바디 케어,데일리 사용,가성비가 좋다는 의견이 많음,모든 피부,148000
라네즈,라네즈 퍼퓸 제품 45,향수,퍼퓸,시그니처 향,효과 체감이 빠르다는 리뷰 다수,복합성,137000
에스트라,에스트라 구강 제품 46,생활용품,구강,구취 제거,자극 없이 순하다는 평가가 많음,모든 피부,125000
한율,한율 바디 제품 47,생활용품,바디,산뜻한 마무리,효과 체감이 빠르다는 리뷰 다수,지성,116000
마몽드,마몽드 팩마스크 제품 48,남성,팩마스크,데일리 사용,효과 체감이 빠르다는 리뷰 다수,건성,81000
헤라,헤라 헤어 제품 49,생활용품,헤어,손상 케어,재구매율이 높은 제품,민감성,124000
설화수,설화수 이너뷰티 제품 50,뷰티푸드,이너뷰티,피부 건강 개선,가성비가 좋다는 의견이 많음,지성,24000
바이탈뷰티,바이탈뷰티 퍼퓸 제품 51,향수,퍼퓸,시그니처 향,재구매율이 높은 제품,지성,114000
아모레베이직,아모레베이직 페이스 제품 52,메이크업,페이스,피부톤 보정,재구매율이 높은 제품,민감성,38000
헤라,헤라 헤어 제품 53,생활용품,헤어,윤기 강화,재구매율이 높은 제품,지성,137000
헤라,헤라 모이스처라이징 제품 54,스킨 케어,모이스처라이징,수분 지속,재구매율이 높은 제품,모든 피부,112000
바이탈뷰티,바이탈뷰티 퍼퓸 제품 55,향수,퍼퓸,지속력 우수,향과 사용감에 대한 만족도가 높음,지성,131000
마몽드,마몽드 구강 제품 56,생활용품,구강,구취 제거,가성비가 좋다는 의견이 많음,민감성,89000
에스트라,에스트라 헤어 제품 57,생활용품,헤어,손상 케어,자극 없이 순하다는 평가가 많음,지성,33000
헤라,헤라 바디케어 제품 58,남성,바디케어,저자극,효과 체감이 빠르다는 리뷰 다수,모든 피부,47000
프리메라,프리메라 퍼퓸 제품 59,향수,퍼퓸,시그니처 향,효과 체감이 빠르다는 리뷰 다수,건성,130000
아모레베이직,아모레베이직 선케어 제품 60,베이비,선케어,백탁 없음,재구매율이 높은 제품,민감성,100000
아이오페,아이오페 바디케어 제품 61,남성,바디케어,데일리 사용,가성비가 좋다는 의견이 많음,모든 피부,75000
한율,한율 선케어 제품 62,베이비,선케어,민감피부 사용 가능,효과 체감이 빠르다는 리뷰 다수,복합성,41000
한율,한율 스킨/바디 케어 제품 63,베이비,스킨/바디 케어,데일리 사용,효과 체감이 빠르다는 리뷰 다수,민감성,117000
프리메라,프리메라 구강 제품 64,생활용품,구강,구취 제거,가성비가 좋다는 의견이 많음,민감성,127000
바이탈뷰티,바이탈뷰티 네일 제품 65,메이크업,네일,선명한 컬러,재구매율이 높은 제품,지성,96000
마몽드,마몽드 에센스크림 제품 66,남성,에센스크림,저자극,재구매율이 높은 제품,모든 피부,51000
라네즈,라네즈 퍼퓸 제품 67,향수,퍼퓸,시그니처 향,효과 체감이 빠르다는 리뷰 다수,건성,136000
설화수,설화수 네일 제품 68,메이크업,네일,선명한 컬러,재구매율이 높은 제품,복합성,87000
아이오페,아이오페 팩마스크 제품 69,남성,팩마스크,데일리 사용,효과 체감이 빠르다는 리뷰 다수,민감성,127000
마몽드,마몽드 스킨/바디 케어 제품 70,베이비,스킨/바디 케어,데일리 사용,효과 체감이 빠르다는 리뷰 다수,건성,48000
설화수,설화수 퍼퓸 제품 71,향수,퍼퓸,지속력 우수,향과 사용감에 대한 만족도가 높음,지성,138000
이니스프리,이니스프리 선케어 제품 72,스킨 케어,선케어,민감피부 사용 가능,재구매율이 높은 제품,복합성,20000
설화수,설화수 스킨로션 제품 73,남성,스킨로션,데일리 사용,효과 체감이 빠르다는 리뷰 다수,복합성,42000
프리메라,프리메라 팩마스크 제품 74,남성,팩마스크,데일리 사용,향과 사용감에 대한 만족도가 높음,민감성,47000
설화수,설화수 선케어 제품 75,베이비,선케어,민감피부 사용 가능,가성비가 좋다는 의견이 많음,지성,25000
아모레베이직,아모레베이직 이너뷰티 제품 76,뷰티푸드,이너뷰티,피부 건강 개선,재구매율이 높은 제품,민감성,129000
에이피뷰티,에이피뷰티 이너뷰티 제품 77,뷰티푸드,이너뷰티,항산화,재구매율이 높은 제품,지성,14000
헤라,헤라 스킨/바디 케어 제품 78,베이비,스킨/바디 케어,데일리 사용,자극 없이 순하다는 평가가 많음,건성,125000
롱테이크,롱테이크 이너뷰티 제품 79,뷰티푸드,이너뷰티,항산화,향과 사용감에 대한 만족도가 높음,건성,109000
한율,한율 아이 제품 80,메이크업,아이,롱래스팅,재구매율이 높은 제품,모든 피부,131000
바이탈뷰티,바이탈뷰티 클렌져 제품 81,남성,클렌져,데일리 사용,자극 없이 순하다는 평가가 많음,복합성,95000
설화수,설화수 에센스크림 제품 82,남성,에센스크림,데일리 사용,효과 체감이 빠르다는 리뷰 다수,민감성,20000
아이오페,아이오페 바디케어 제품 83,남성,바디케어,데일리 사용,효과 체감이 빠르다는 리뷰 다수,모든 피부,126000
마몽드,마몽드 스킨/바디 케어 제품 84,베이비,스킨/바디 케어,데일리 사용,향과 사용감에 대한 만족도가 높음,건성,28000
마몽드,마몽드 퍼퓸 제품 85,향수,퍼퓸,시그니처 향,효과 체감이 빠르다는 리뷰 다수,복합성,53000
이니스프리,이니스프리 퍼퓸 제품 86,향수,퍼퓸,시그니처 향,재구매율이 높은 제품,모든 피부,62000
에스트라,에스트라 에센스크림 제품 87,남성,에센스크림,저자극,효과 체감이 빠르다는 리뷰 다수,복합성,51000
아모레베이직,아모레베이직 이너뷰티 제품 88,뷰티푸드,이너뷰티,피부 건강 개선,재구매율이 높은 제품,민감성,78000
이니스프리,이니스프리 치크 제품 89,메이크업,치크,생기 부여,재구매율이 높은 제품,지성,46000
설화수,설화수 스페셜 케어 제품 90,스킨 케어,스페셜 케어,미백 기능성,향과 사용감에 대한 만족도가 높음,복합성,64000
아이오페,아이오페 퍼퓸 제품 91,향수,퍼퓸,지속력 우수,효과 체감이 빠르다는 리뷰 다수,지성,53000
바이탈뷰티,바이탈뷰티 스킨/바디 케어 제품 92,베이비,스킨/바디 케어,저자극,향과 사용감에 대한 만족도가 높음,민감성,64000
롱테이크,롱테이크 선케어 제품 93,스킨 케어,선케어,민감피부 사용 가능,재구매율이 높은 제품,지성,130000
이니스프리,이니스프리 이너뷰티 제품 94,뷰티푸드,이너뷰티,항산화,가성비가 좋다는 의견이 많음,건성,120000
에스트라,에스트라 퍼퓸 제품 95,향수,퍼퓸,시그니처 향,재구매율이 높은 제품,지성,11000
마몽드,마몽드 치크 제품 96,메이크업,치크,생기 부여,가성비가 좋다는 의견이 많음,모든 피부,129000
아이오페,아이오페 바디 제품 97,생활용품,바디,보습 강화,향과 사용감에 대한 만족도가 높음,건성,53000
헤라,헤라 헤어 제품 98,생활용품,헤어,손상 케어,재구매율이 높은 제품,민감성,81000
롱테이크,롱테이크 스킨/바디 케어 제품 99,베이비,스킨/바디 케어,데일리 사용,향과 사용감에 대한 만족도가 높음,민감성,79000
오설록,오설록 선케어 제품 100,베이비,선케어,자외선 차단,향과 사용감에 대한 만족도가 높음,모든 피부,149000
한율,한율 스킨/바디 케어 제품 101,베이비,스킨/바디 케어,저자극,향과 사용감에 대한 만족도가 높음,지성,39000
아이오페,아이오페 스킨/바디 케어 제품 102,베이비,스킨/바디 케어,저자극,재구매율이 높은 제품,민감성,102000
에이피뷰티,에이피뷰티 팩마스크 제품 103,남성,팩마스크,데일리 사용,가성비가 좋다는 의견이 많음,복합성,134000
마몽드,마몽드 스페셜 케어 제품 104,스킨 케어,스페셜 케어,미백 기능성,효과 체감이 빠르다는 리뷰 다수,민감성,117000
헤라,헤라 아이 제품 105,메이크업,아이,롱래스팅,향과 사용감에 대한 만족도가 높음,복합성,139000
설화수,설화수 퍼퓸 제품 106,향수,퍼퓸,시그니처 향,가성비가 좋다는 의견이 많음,모든 피부,52000
설화수,설화수 선케어 제품 107,스킨 케어,선케어,민감피부 사용 가능,재구매율이 높은 제품,지성,52000
한율,한율 퍼퓸 제품 108,향수,퍼퓸,지속력 우수,향과 사용감에 대한 만족도가 높음,모든 피부,121000
오설록,오설록 메이크업 제품 109,남성,메이크업,데일리 사용,자극 없이 순하다는 평가가 많음,모든 피부,86000
라네즈,라네즈 아이 제품 110,메이크업,아이,롱래스팅,효과 체감이 빠르다는 리뷰 다수,지성,123000
에이피뷰티,에이피뷰티 썬/BB 크림 제품 111,남성,썬/BB 크림,데일리 사용,가성비가 좋다는 의견이 많음,모든 피부,48000
에스트라,에스트라 스킨/바디 케어 제품 112,베이비,스킨/바디 케어,데일리 사용,가성비가 좋다는 의견이 많음,복합성,128000
오설록,오설록 네일 제품 113,메이크업,네일,빠른 건조,가성비가 좋다는 의견이 많음,복합성,33000
이니스프리,이니스프리 메이크업 제품 114,남성,메이크업,데일리 사용,재구매율이 높은 제품,지성,100000
마몽드,마몽드 구강 제품 115,생활용품,구강,구취 제거,자극 없이 순하다는 평가가 많음,모든 피부,15000
마몽드,마몽드 스킨/바디 케어 제품 116,베이비,스킨/바디 케어,데일리 사용,향과 사용감에 대한 만족도가 높음,지성,75000
마몽드,마몽드 이너뷰티 제품 117,뷰티푸드,이너뷰티,항산화,자극 없이 순하다는 평가가 많음,민감성,22000
한율,한율 팩마스크 제품 118,남성,팩마스크,데일리 사용,재구매율이 높은 제품,복합성,107000
한율,한율 헤어 제품 119,생활용품,헤어,윤기 강화,효과 체감이 빠르다는 리뷰 다수,복합성,141000
라네즈,라네즈 바디케어 제품 120,남성,바디케어,저자극,재구매율이 높은 제품,민감성,53000
아이오페,아이오페 클렌징 제품 121,스킨 케어,클렌징,보습 유지,효과 체감이 빠르다는 리뷰 다수,민감성,65000
롱테이크,롱테이크 페이스 제품 122,메이크업,페이스,자연스러운 커버,향과 사용감에 대한 만족도가 높음,모든 피부,95000
에스트라,에스트라 아이 제품 123,메이크업,아이,번짐 방지,향과 사용감에 대한 만족도가 높음,모든 피부,100000
롱테이크,롱테이크 선케어 제품 124,베이비,선케어,민감피부 사용 가능,재구매율이 높은 제품,민감성,35000
아모레베이직,아모레베이직 페이스 제품 125,메이크업,페이스,피부톤 보정,가성비가 좋다는 의견이 많음,모든 피부,126000
프리메라,프리메라 퍼퓸 제품 126,향수,퍼퓸,지속력 우수,재구매율이 높은 제품,복합성,113000
오설록,오설록 페이스 제품 127,메이크업,페이스,자연스러운 커버,자극 없이 순하다는 평가가 많음,민감성,133000
이니스프리,이니스프리 스페셜 케어 제품 128,스킨 케어,스페셜 케어,집중 케어,가성비가 좋다는 의견이 많음,모든 피부,125000
프리메라,프리메라 선케어 제품 129,베이비,선케어,민감피부 사용 가능,가성비가 좋다는 의견이 많음,민감성,119000
헤라,헤라 스킨/바디 케어 제품 130,베이비,스킨/바디 케어,데일리 사용,가성비가 좋다는 의견이 많음,건성,56000
마몽드,마몽드 이너뷰티 제품 131,뷰티푸드,이너뷰티,피부 건강 개선,가성비가 좋다는 의견이 많음,복합성,8000
프리메라,프리메라 이너뷰티 제품 132,뷰티푸드,이너뷰티,항산화,재구매율이 높은 제품,모든 피부,16000
라네즈,라네즈 립 제품 133,메이크업,립,보습감,가성비가 좋다는 의견이 많음,모든 피부,55000
헤라,헤라 바디 제품 134,생활용품,바디,산뜻한 마무리,자극 없이 순하다는 평가가 많음,건성,23000
에스트라,에스트라 치크 제품 135,메이크업,치크,생기 부여,재구매율이 높은 제품,지성,116000
이니스프리,이니스프리 스킨/바디 케어 제품 136,베이비,스킨/바디 케어,데일리 사용,가성비가 좋다는 의견이 많음,민감성,98000
한율,한율 구강 제품 137,생활용품,구강,구취 제거,자극 없이 순하다는 평가가 많음,지성,62000
바이탈뷰티,바이탈뷰티 헤어케어 제품 138,남성,헤어케어,저자극,재구매율이 높은 제품,민감성,28000
에이피뷰티,에이피뷰티 팩마스크 제품 139,남성,팩마스크,데일리 사용,가성비가 좋다는 의견이 많음,지성,87000
한율,한율 이너뷰티 제품 140,뷰티푸드,이너뷰티,항산화,재구매율이 높은 제품,민감성,134000
에이피뷰티,에이피뷰티 바디 제품 141,생활용품,바디,보습 강화,향과 사용감에 대한 만족도가 높음,복합성,10000
아모레베이직,아모레베이직 선케어 제품 142,스킨 케어,선케어,민감피부 사용 가능,가성비가 좋다는 의견이 많음,모든 피부,30000
바이탈뷰티,바이탈뷰티 구강 제품 143,생활용품,구강,구취 제거,향과 사용감에 대한 만족도가 높음,민감성,105000
마몽드,마몽드 선케어 제품 144,베이비,선케어,민감피부 사용 가능,자극 없이 순하다는 평가가 많음,지성,130000
헤라,헤라 에센스크림 제품 145,남성,에센스크림,데일리 사용,재구매율이 높은 제품,민감성,29000
마몽드,마몽드 선케어 제품 146,베이비,선케어,자외선 차단,효과 체감이 빠르다는 리뷰 다수,건성,84000
아모레베이직,아모레베이직 이너뷰티 제품 147,뷰티푸드,이너뷰티,항산화,가성비가 좋다는 의견이 많음,건성,31000
프리메라,프리메라 네일 제품 148,메이크업,네일,선명한 컬러,재구매율이 높은 제품,건성,132000
아모레베이직,아모레베이직 퍼퓸 제품 149,향수,퍼퓸,지속력 우수,자극 없이 순하다는 평가가 많음,복합성,107000
아이오페,아이오페 페이스 제품 150,메이크업,페이스,피부톤 보정,가성비가 좋다는 의견이 많음,건성,149000
롱테이크,롱테이크 선케어 제품 151,베이비,선케어,민감피부 사용 가능,효과 체감이 빠르다는 리뷰 다수,모든 피부,51000
마몽드,마몽드 팩마스크 제품 152,남성,팩마스크,데일리 사용,효과 체감이 빠르다는 리뷰 다수,지성,34000
헤라,헤라 퍼퓸 제품 153,향수,퍼퓸,시그니처 향,재구매율이 높은 제품,지성,44000
이니스프리,이니스프리 이너뷰티 제품 154,뷰티푸드,이너뷰티,항산화,효과 체감이 빠르다는 리뷰 다수,복합성,52000
프리메라,프리메라 바디 제품 155,생활용품,바디,보습 강화,재구매율이 높은 제품,민감성,10000
라네즈,라네즈 퍼퓸 제품 156,향수,퍼퓸,시그니처 향,효과 체감이 빠르다는 리뷰 다수,지성,76000
바이탈뷰티,바이탈뷰티 선케어 제품 157,베이비,선케어,자외선 차단,재구매율이 높은 제품,모든 피부,77000
에스트라,에스트라 모이스처라이징 제품 158,스킨 케어,모이스처라이징,수분 지속,가성비가 좋다는 의견이 많음,모든 피부,39000
헤라,헤라 이너뷰티 제품 159,뷰티푸드,이너뷰티,항산화,효과 체감이 빠르다는 리뷰 다수,지성,148000
바이탈뷰티,바이탈뷰티 바디 제품 160,생활용품,바디,보습 강화,향과 사용감에 대한 만족도가 높음,지성,38000
롱테이크,롱테이크 스페셜 케어 제품 161,스킨 케어,스페셜 케어,집중 케어,향과 사용감에 대한 만족도가 높음,건성,9000
프리메라,프리메라 네일 제품 162,메이크업,네일,선명한 컬러,향과 사용감에 대한 만족도가 높음,민감성,125000
에이피뷰티,에이피뷰티 구강 제품 163,생활용품,구강,저자극,재구매율이 높은 제품,복합성,45000
롱테이크,롱테이크 메이크업 제품 164,남성,메이크업,데일리 사용,자극 없이 순하다는 평가가 많음,건성,65000
라네즈,라네즈 페이스 제품 165,메이크업,페이스,피부톤 보정,효과 체감이 빠르다는 리뷰 다수,건성,132000
헤라,헤라 선케어 제품 166,베이비,선케어,자외선 차단,향과 사용감에 대한 만족도가 높음,건성,30000
마몽드,마몽드 스킨/바디 케어 제품 167,베이비,스킨/바디 케어,저자극,향과 사용감에 대한 만족도가 높음,복합성,89000
프리메라,프리메라 스킨/바디 케어 제품 168,베이비,스킨/바디 케어,데일리 사용,향과 사용감에 대한 만족도가 높음,지성,45000
아모레베이직,아모레베이직 이너뷰티 제품 169,뷰티푸드,이너뷰티,피부 건강 개선,효과 체감이 빠르다는 리뷰 다수,복합성,81000
프리메라,프리메라 퍼퓸 제품 170,향수,퍼퓸,시그니처 향,재구매율이 높은 제품,민감성,135000
롱테이크,롱테이크 헤어 제품 171,생활용품,헤어,손상 케어,효과 체감이 빠르다는 리뷰 다수,건성,136000
에이피뷰티,에이피뷰티 치크 제품 172,메이크업,치크,자연 발색,자극 없이 순하다는 평가가 많음,민감성,84000
에스트라,에스트라 선케어 제품 173,베이비,선케어,자외선 차단,가성비가 좋다는 의견이 많음,모든 피부,46000
아모레베이직,아모레베이직 선케어 제품 174,베이비,선케어,백탁 없음,향과 사용감에 대한 만족도가 높음,복합성,131000
설화수,설화수 스킨/바디 케어 제품 175,베이비,스킨/바디 케어,저자극,재구매율이 높은 제품,지성,10000
설화수,설화수 퍼퓸 제품 176,향수,퍼퓸,지속력 우수,효과 체감이 빠르다는 리뷰 다수,모든 피부,144000
한율,한율 이너뷰티 제품 177,뷰티푸드,이너뷰티,항산화,재구매율이 높은 제품,모든 피부,137000
이니스프리,이니스프리 팩마스크 제품 178,남성,팩마스크,데일리 사용,효과 체감이 빠르다는 리뷰 다수,건성,42000
롱테이크,롱테이크 구강 제품 179,생활용품,구강,저자극,자극 없이 순하다는 평가가 많음,민감성,88000
헤라,헤라 네일 제품 180,메이크업,네일,빠른 건조,향과 사용감에 대한 만족도가 높음,건성,64000
아이오페,아이오페 클렌징 제품 181,스킨 케어,클렌징,미세먼지 제거,향과 사용감에 대한 만족도가 높음,지성,68000
헤라,헤라 모이스처라이징 제품 182,스킨 케어,모이스처라이징,고보습,재구매율이 높은 제품,복합성,47000
오설록,오설록 이너뷰티 제품 183,뷰티푸드,이너뷰티,피부 건강 개선,재구매율이 높은 제품,모든 피부,108000
헤라,헤라 선케어 제품 184,베이비,선케어,자외선 차단,향과 사용감에 대한 만족도가 높음,모든 피부,80000
이니스프리,이니스프리 이너뷰티 제품 185,뷰티푸드,이너뷰티,피부 건강 개선,향과 사용감에 대한 만족도가 높음,지성,75000
에스트라,에스트라 헤어케어 제품 186,남성,헤어케어,저자극,재구매율이 높은 제품,지성,51000
에이피뷰티,에이피뷰티 이너뷰티 제품 187,뷰티푸드,이너뷰티,항산화,재구매율이 높은 제품,민감성,65000
롱테이크,롱테이크 이너뷰티 제품 188,뷰티푸드,이너뷰티,피부 건강 개선,효과 체감이 빠르다는 리뷰 다수,모든 피부,28000
설화수,설화수 선케어 제품 189,베이비,선케어,민감피부 사용 가능,재구매율이 높은 제품,모든 피부,45000
프리메라,프리메라 아이 제품 190,메이크업,아이,롱래스팅,자극 없이 순하다는 평가가 많음,모든 피부,138000
바이탈뷰티,바이탈뷰티 네일 제품 191,메이크업,네일,선명한 컬러,향과 사용감에 대한 만족도가 높음,모든 피부,72000
아이오페,아이오페 구강 제품 192,생활용품,구강,저자극,자극 없이 순하다는 평가가 많음,복합성,46000
헤라,헤라 스페셜 케어 제품 193,스킨 케어,스페셜 케어,집중 케어,재구매율이 높은 제품,민감성,113000
바이탈뷰티,바이탈뷰티 퍼퓸 제품 194,향수,퍼퓸,시그니처 향,자극 없이 순하다는 평가가 많음,건성,76000
라네즈,라네즈 스페셜 케어 제품 195,스킨 케어,스페셜 케어,미백 기능성,재구매율이 높은 제품,복합성,107000
설화수,설화수 이너뷰티 제품 196,뷰티푸드,이너뷰티,항산화,효과 체감이 빠르다는 리뷰 다수,건성,143000
한율,한율 이너뷰티 제품 197,뷰티푸드,이너뷰티,피부 건강 개선,효과 체감이 빠르다는 리뷰 다수,모든 피부,89000
오설록,오설록 이너뷰티 제품 198,뷰티푸드,이너뷰티,항산화,가성비가 좋다는 의견이 많음,건성,126000
헤라,헤라 선케어 제품 199,베이비,선케어,민감피부 사용 가능,재구매율이 높은 제품,건성,99000
아이오페,아이오페 썬/BB 크림 제품 200,남성,썬/BB 크림,데일리 사용,가성비가 좋다는 의견이 많음,지성,92000
마몽드,마몽드 립 제품 201,메이크업,립,보습감,자극 없이 순하다는 평가가 많음,민감성,93000
롱테이크,롱테이크 선케어 제품 202,스킨 케어,선케어,백탁 없음,효과 체감이 빠르다는 리뷰 다수,지성,9000
이니스프리,이니스프리 퍼퓸 제품 203,향수,퍼퓸,지속력 우수,향과 사용감에 대한 만족도가 높음,복합성,76000
에이피뷰티,에이피뷰티 이너뷰티 제품 204,뷰티푸드,이너뷰티,항산화,재구매율이 높은 제품,지성,115000
헤라,헤라 이너뷰티 제품 205,뷰티푸드,이너뷰티,항산화,자극 없이 순하다는 평가가 많음,건성,21000
라네즈,라네즈 쉐이빙 제품 206,남성,쉐이빙,데일리 사용,재구매율이 높은 제품,모든 피부,75000
롱테이크,롱테이크 스페셜 케어 제품 207,스킨 케어,스페셜 케어,집중 케어,효과 체감이 빠르다는 리뷰 다수,민감성,13000
마몽드,마몽드 이너뷰티 제품 208,뷰티푸드,이너뷰티,피부 건강 개선,효과 체감이 빠르다는 리뷰 다수,모든 피부,145000
에스트라,에스트라 이너뷰티 제품 209,뷰티푸드,이너뷰티,항산화,향과 사용감에 대한 만족도가 높음,모든 피부,23000
한율,한율 퍼퓸 제품 210,향수,퍼퓸,지속력 우수,자극 없이 순하다는 평가가 많음,지성,64000
라네즈,라네즈 스킨/바디 케어 제품 211,베이비,스킨/바디 케어,데일리 사용,자극 없이 순하다는 평가가 많음,건성,119000
오설록,오설록 퍼퓸 제품 212,향수,퍼퓸,지속력 우수,가성비가 좋다는 의견이 많음,모든 피부,61000
아모레베이직,아모레베이직 립 제품 213,메이크업,립,보습감,재구매율이 높은 제품,모든 피부,21000
아모레베이직,아모레베이직 이너뷰티 제품 214,뷰티푸드,이너뷰티,피부 건강 개선,재구매율이 높은 제품,복합성,124000
프리메라,프리메라 페이스 제품 215,메이크업,페이스,피부톤 보정,가성비가 좋다는 의견이 많음,복합성,17000
라네즈,라네즈 퍼퓸 제품 216,향수,퍼퓸,지속력 우수,가성비가 좋다는 의견이 많음,지성,136000
설화수,설화수 클렌징 제품 217,스킨 케어,클렌징,보습 유지,향과 사용감에 대한 만족도가 높음,모든 피부,142000
라네즈,라네즈 바디 제품 218,생활용품,바디,산뜻한 마무리,가성비가 좋다는 의견이 많음,건성,71000
바이탈뷰티,바이탈뷰티 선케어 제품 219,베이비,선케어,민감피부 사용 가능,가성비가 좋다는 의견이 많음,모든 피부,33000
설화수,설화수 모이스처라이징 제품 220,스킨 케어,모이스처라이징,고보습,향과 사용감에 대한 만족도가 높음,지성,14000
한율,한율 스킨로션 제품 221,남성,스킨로션,데일리 사용,향과 사용감에 대한 만족도가 높음,모든 피부,30000
